Developer4           Neighborhood94       Monolith   1979       NO         NO         85         18         30.00
Developer44          Neighborhood45       Brick      1978       NO         NO         62         14         57.00
Developer9           Neighborhood53       Brick      1976       YES        YES        80         49         53.30
Developer51          Neighborhood57       Monolith   1976       YES        NO         65         28         54.00
Developer95          Neighborhood56       Brick      1975       YES        NO         45         5          93.20
Developer8           Neighborhood13       Brick      1975       YES        NO         87         36         67.30
Developer41          Neighborhood28       Monolith   1974       NO         YES        45         29         42.40
Developer54          Neighborhood77       Panel      1973       YES        NO         50         44         79.00
Developer11          Neighborhood61       Brick      1970       NO         YES        56         20         69.60
Developer28          Neighborhood22       Monolith   1969       YES        YES        26         8          81.50
Developer3           Neighborhood40       Brick      1969       NO         YES        79         14         51.90
Developer70          Neighborhood56       Monolith   1967       NO         YES        35         35         88.40
Developer74          Neighborhood61       Brick      1966       YES        NO         55         9          107.90
Developer54          Neighborhood13       Brick      1966       YES        YES        72         48         115.00
Developer22          Neighborhood27       Brick      1966       YES        NO         13         49         110.70
Developer29          Neighborhood21       Panel      1963       NO         NO         101        25         116.80
Developer79          Neighborhood9        Brick      1961       YES        YES        82         24         115.40
Developer20          Neighborhood31       Panel      1961       NO         NO         51         3          64.60
Developer71          Neighborhood62       Monolith   1960       YES        YES        19         42         92.40
Developer18          Neighborhood15       Monolith   1959       NO         YES        62         13         63.30
Developer27          Neighborhood69       Panel      1959       NO         NO         49         23         72.20
Developer12          Neighborhood97       Panel      1959       NO         NO         62         24         105.80
Developer33          Neighborhood21       Brick      1958       YES        YES        43         50         128.70
Developer17          Neighborhood74       Panel      1957       NO         NO         31         49         127.50
Developer86          Neighborhood60       Panel      1956       YES        NO         107        44         82.00
Developer49          Neighborhood23       Brick      1954       YES        NO         74         6          97.80
Developer82          Neighborhood30       Monolith   1954       YES        NO         27         36         87.60
Developer51          Neighborhood56       Panel      1954       NO         NO         16         23         67.20
Developer94          Neighborhood56       Panel      1953       NO         YES        67         49         92.50
Developer81          Neighborhood87       Monolith   1948       NO         NO         94         32         79.50
Developer71          Neighborhood71       Brick      1947       YES        YES        65         29         48.60
Developer22          Neighborhood96       Brick      1946       NO         YES        95         45         66.80
Developer1           Neighborhood27       Panel      1943       YES        NO         60         13         125.60
Developer32          Neighborhood70       Monolith   1941       NO         NO         19         27         88.50
Developer3           Neighborhood4        Monolith   1941       YES        NO         80         6          106.00
Developer63          Neighborhood86       Brick      1940       YES        NO         48         19         45.40
Developer90          Neighborhood59       Brick      1933       NO         YES        25         15         121.10
Developer6           Neighborhood97       Brick      1933       NO         NO         57         3          91.10
Developer17          Neighborhood8        Panel      1932       YES        NO         21         11         115.30
Developer48          Neighborhood94       Panel      1932       YES        YES        41         22         68.60
Developer0           Neighborhood29       Panel      1930       YES        YES        69         2          114.90
Developer3           Neighborhood95       Brick      1929       NO         NO         32         9          82.80
Developer54          Neighborhood42       Monolith   1926       NO         NO         95         7          60.90
Developer83          Neighborhood51       Brick      1922       YES        NO         43         12         127.70
Developer36          Neighborhood31       Monolith   1919       NO         YES        107        9          42.40
Developer99          Neighborhood3        Panel      1919       YES        YES        29         8          105.00
Developer76          Neighborhood13       Brick      1919       YES        NO         104        2          84.70
Developer47          Neighborhood81       Monolith   1916       NO         NO         78         21         32.70
Developer57          Neighborhood44       Brick      1915       NO         YES        23         5          126.80
Developer18          Neighborhood31       Panel      1914       YES        NO         92         24         98.30
Developer2           Neighborhood43       Brick      1914       YES        NO         44         22         123.80
Developer89          Neighborhood36       Panel      1913       YES        YES        29         3          41.90
Developer25          Neighborhood55       Brick      1912       NO         YES        86         20         57.00
Developer56          Neighborhood80       Panel      1912       NO         YES        14         3          43.20
Developer24          Neighborhood79       Brick      1912       NO         YES        56         5          96.70
Developer6           Neighborhood13       Monolith   1911       YES        YES        103        3          90.30
Developer88          Neighborhood96       Brick      1911       YES        YES        55         21         60.90
Developer5           Neighborhood25       Panel      1908       YES        YES        42         40         49.50
Developer46          Neighborhood64       Panel      1907       YES        YES        78         46         61.00
Developer32          Neighborhood85       Monolith   1907       YES        YES        37         32         71.30
Developer45          Neighborhood18       Monolith   1907       YES        YES        62         37         119.00
Developer20          Neighborhood44       Panel      1906       NO         NO         32         49         91.80
Developer46          Neighborhood83       Panel      1904       NO         YES        97         10         91.80
Developer52          Neighborhood49       Panel      1903       YES        NO         11         48         77.30
Developer18          Neighborhood28       Brick      1900       NO         YES        34         30         117.90
Developer76          Neighborhood41       Brick      1900       NO         NO         46         10         103.10
